id|message|group|rgba[0]|rgba[1]|rgba[2]|sub_msg|type
1053|a,It is not possible to resurrect in battlegrounds where a siege war is taking place.\0|0|79|9B|B0|a,|a,none\0
1054|a,You have entered a mystical land.\0|0|79|9B|B0|a,|a,none\0
1055|a,You have left a mystical land.\0|0|79|9B|B0|a,|a,none\0
1056|a,You have exceeded the storage capacity of the castle's vault.\0|0|79|9B|B0|a,|a,none\0
1057|a,This command can only be used in the relax server.\0|0|79|9B|B0|a,|a,none\0
1058|a,The sales price for seeds is $s1 Adena.\0|0|79|9B|B0|a,|a,none\0
1059|a,The remaining purchasing amount is $s1 Adena.\0|0|79|9B|B0|a,|a,none\0
1060|a,The remainder after selling the seeds is $s1.\0|0|79|9B|B0|a,|a,none\0
1061|a,The recipe cannot be registered.  You do not have the ability to create items.\0|0|79|9B|B0|a,|a,none\0
1062|a,Writing something new is possible after level 10.\0|0|79|9B|B0|a,|a,none\0
1063|a,The Petition Service is currently unavailable, please send a support ticket on https://lineage2.custhelp.com; If you become trapped or unable to move, please use the '/unstuck' command.\0|4|79|9B|B0|a,|a,popup\0
1064|a,The equipment, +$s1 $s2, has been removed.\0|0|79|9B|B0|a,|a,none\0
1065|a,While operating a private store or workshop, you cannot discard, destroy, or trade an item.\0|0|79|9B|B0|a,|a,none\0
1066|a,$s1 HP has been restored.\0|0|79|9B|B0|a,|a,none\0
1067|a,$s2 HP has been restored by $c1.\0|0|79|9B|B0|a,|a,none\0
1068|a,$s1 MP has been restored.\0|0|79|9B|B0|a,|a,none\0
1069|a,$s2 MP has been restored by $c1.\0|0|79|9B|B0|a,|a,none\0
1070|a,You do not have 'read' permission.\0|0|79|9B|B0|a,|a,none\0
1071|a,You do not have 'write' permission.\0|0|79|9B|B0|a,|a,none\0
1072|a,You have obtained a ticket for the Monster Race #$s1  -  Single.\0|0|79|9B|B0|a,|a,none\0
1073|a,You have obtained a ticket for the Monster Race #$s1  -  Single.\0|0|79|9B|B0|a,|a,none\0
1074|a,You do not meet the age requirement to purchase a Monster Race Ticket.\0|0|79|9B|B0|a,|a,none\0
1075|a,The bid amount must be higher than the previous bid.\0|0|79|9B|B0|a,|a,none\0
1076|a,The game cannot be terminated at this time.\0|0|79|9B|B0|a,|a,none\0
1077|a,A GameGuard Execution error has occurred.  Please send the *.erl file(s) located in the GameGuard folder to game@inca.co.kr.\0|0|79|9B|B0|a,|a,none\0
1078|a,When a user's keyboard input exceeds a certain cumulative score a chat ban will be applied. This is done to discourage spamming. Please avoid posting the same message multiple times during a short period.\0|0|79|9B|B0|a,|a,none\0
1079|a, The target is currently banned from chatting.\0|0|79|9B|B0|a,|a,none\0
1080|a,Being permanent, are you sure you wish to use the facelift potion - Type A?\0|4|79|9B|B0|a,|a,popup\0
1081|a,Being permanent, are you sure you wish to use the Dye Potion - Type A?\0|4|79|9B|B0|a,|a,popup\0
1082|a,Do you wish to use the hair style change potion - Type A? It is permanent.\0|4|79|9B|B0|a,|a,popup\0
1083|a,Facelift potion - Type A is being applied.\0|0|79|9B|B0|a,|a,none\0
1084|a,Dye Potion - Type A is being applied.\0|0|79|9B|B0|a,|a,none\0
1085|a,The hair style change potion - Type A is being used.\0|0|79|9B|B0|a,|a,none\0
1086|a,Your facial appearance has been changed.\0|0|79|9B|B0|a,|a,none\0
1087|a,Your hair color has been changed.\0|0|79|9B|B0|a,|a,none\0
1088|a,Your hair style has been changed.\0|0|79|9B|B0|a,|a,none\0
1089|a,$c1 has obtained a first anniversary commemorative item.\0|0|79|9B|B0|a,|a,none\0
1090|a,Being permanent, are you sure you wish to use the facelift potion - Type B?\0|4|79|9B|B0|a,|a,popup\0
1091|a,Being permanent, are you sure you wish to use the facelift potion - Type C?\0|4|79|9B|B0|a,|a,popup\0
1092|a,Being permanent, are you sure you wish to use the Dye Potion - Type B?\0|4|79|9B|B0|a,|a,popup\0
1093|a,Being permanent, are you sure you wish to use the Dye Potion - Type C?\0|4|79|9B|B0|a,|a,popup\0
1094|a,Being permanent, are you sure you wish to use the Dye Potion - Type D?\0|4|79|9B|B0|a,|a,popup\0
1095|a,Do you wish to use the hair style change potion - Type B? It is permanent.\0|4|79|9B|B0|a,|a,popup\0
1096|a,Do you wish to use the hair style change potion - Type C? It is permanent.\0|4|79|9B|B0|a,|a,popup\0
1097|a,Do you wish to use the hair style change potion - Type D? It is permanent.\0|4|79|9B|B0|a,|a,popup\0
1098|a,Do you wish to use the hair style change potion - Type E? It is permanent.\0|4|79|9B|B0|a,|a,popup\0
1099|a,Do you wish to use the hair style change potion - Type F? It is permanent.\0|4|79|9B|B0|a,|a,popup\0
1100|a,Do you wish to use the hair style change potion - Type G? It is permanent.\0|4|79|9B|B0|a,|a,popup\0
1101|a,Facelift potion - Type B is being applied.\0|0|79|9B|B0|a,|a,none\0
1102|a,Facelift potion - Type C is being applied.\0|0|79|9B|B0|a,|a,none\0
1103|a,Dye Potion - Type B is being applied.\0|0|79|9B|B0|a,|a,none\0
1104|a,Dye Potion - Type C is being applied.\0|0|79|9B|B0|a,|a,none\0
1105|a,Dye Potion - Type D is being applied.\0|0|79|9B|B0|a,|a,none\0
1106|a,The hair style change potion - Type B is being used.\0|0|79|9B|B0|a,|a,none\0
1107|a,The hair style change potion - Type C is being used.\0|0|79|9B|B0|a,|a,none\0
1108|a,The hair style change potion - Type D is being used.\0|0|79|9B|B0|a,|a,none\0
1109|a,The hair style change potion - Type E is being used.\0|0|79|9B|B0|a,|a,none\0
1110|a,The hair style change potion - Type F is being used.\0|0|79|9B|B0|a,|a,none\0
1111|a,The hair style change potion - Type G is being used.\0|0|79|9B|B0|a,|a,none\0
1112|a,The prize amount for the winner of Lottery #$s1 is $s2 Adena.  We have $s3 first prize winners.\0|0|79|9B|B0|a,|a,none\0
1113|a,The prize amount for Lucky Lottery #$s1 is $s2 Adena. There was no first prize winner in this drawing, therefore the jackpot will be added to the next drawing.\0|0|79|9B|B0|a,|a,none\0
1114|a,Your clan may not register to participate in a siege while under a grace period of the clan's dissolution.\0|0|79|9B|B0|a,|a,none\0
1115|a,Individuals may not surrender during combat.\0|0|79|9B|B0|a,|a,none\0
1116|a,You cannot leave a clan while engaged in combat.\0|0|79|9B|B0|a,|a,none\0
1117|a,A clan member may not be dismissed during combat.\0|0|79|9B|B0|a,|a,none\0
1118|a,Unable to process this request until your inventory's weight and slot count are less than 80 percent of capacity.\0|4|79|9B|B0|a,|a,popup\0
1119|a,Quest was automatically canceled when you attempted to settle the accounts of your quest while your inventory exceeded 80 percent of capacity.\0|4|79|9B|B0|a,|a,popup\0
1120|a,You are still a member of the clan.\0|0|79|9B|B0|a,|a,none\0
1121|a,You do not have the right to vote.\0|0|79|9B|B0|a,|a,none\0
1122|a,There is no candidate.\0|0|79|9B|B0|a,|a,none\0
1123|a,Weight and volume limit have been exceeded. That skill is currently unavailable.\0|0|79|9B|B0|a,|a,none\0
1124|a,Your recipe book may not be accessed while using a skill.\0|0|79|9B|B0|a,|a,none\0
1125|a,Item creation is not possible while engaged in a trade.\0|0|79|9B|B0|a,|a,none\0
1126|a,You cannot enter a negative number.\0|0|79|9B|B0|a,|a,none\0
1127|a,The reward must be less than 10 times the standard price.\0|0|79|9B|B0|a,|a,none\0
1128|a,A private store may not be opened while using a skill.\0|0|79|9B|B0|a,|a,none\0
1129|a,This is not allowed while riding a ferry or boat.\0|0|79|9B|B0|a,|a,none\0
1130|a,You have dealt $s1 damage to your target and $s2 damage to the servitor.\0|0|79|9B|B0|a,|a,none\0
1131|a,It is now midnight and the effect of $s1 can be felt.\0|0|79|9B|B0|a,|a,none\0
1132|a,It is dawn and the effect of $s1 will now disappear.\0|0|79|9B|B0|a,|a,none\0
1133|a,Since your HP has decreased, the effect of $s1 can be felt.\0|0|79|9B|B0|a,|a,none\0
1134|a,Since your HP has increased, the effect of $s1 will disappear.\0|0|79|9B|B0|a,|a,none\0
1135|a,While you are engaged in combat, you cannot operate a private store or private workshop.\0|0|79|9B|B0|a,|a,none\0
1136|a,Since there was an account that used this IP and attempted to log in illegally, this account is not allowed to connect to the game server for $s1 minute(s). Please use another game server.\0|0|79|9B|B0|a,|a,none\0
1137|a,$c1 harvested $s3 $s2(s).\0|0|79|9B|B0|a,|a,none\0
1138|a,$c1 harvested $s2.\0|0|79|9B|B0|a,|a,none\0
1139|a,The weight and volume limit of your inventory cannot be exceeded.\0|0|79|9B|B0|a,|a,none\0
1140|a,Would you like to open the gate?\0|0|79|9B|B0|a,|a,none\0
1141|a,Would you like to close the gate?\0|0|79|9B|B0|a,|a,none\0
1142|a,Since $s1 already exists nearby, you cannot summon it again.\0|0|79|9B|B0|a,|a,none\0
1143|a,Since you do not have enough items to maintain the servitor's stay, the servitor has disappeared.\0|0|79|9B|B0|a,|a,none\0
1144|a,You don't have anybody to chat with in the game.\0|6|79|9B|B0|a,|a,petition\0
1145|a,$s2 has been created for $c1 after the payment of $s3 Adena was received.\0|0|79|9B|B0|a,|a,none\0
1146|a,$c1 created $s2 after receiving $s3 Adena.\0|0|79|9B|B0|a,|a,none\0
1147|a,$s3 $s2(s) have been created for $c1 at the price of $s4 Adena.\0|0|79|9B|B0|a,|a,none\0
1148|a,$c1 created $s3 $s2(s) at the price of $s4 Adena.\0|0|79|9B|B0|a,|a,none\0
1149|a,You failed to create $s2 for $c1 at the price of $s3 Adena.\0|0|79|9B|B0|a,|a,none\0
1150|a,$c1 has failed to create $s2 at the price of $s3 Adena.\0|0|79|9B|B0|a,|a,none\0
1151|a,$s2 is sold to $c1 for the price of $s3 Adena.\0|0|79|9B|B0|a,|a,none\0
1152|a,$s3 $s2(s) have been sold to $c1 for $s4 Adena.\0|0|79|9B|B0|a,|a,none\0
1153|a,$s2 has been purchased from $c1 at the price of $s3 Adena.\0|0|79|9B|B0|a,|a,none\0
1154|a,$s3 $s2(s) have been purchased from $c1 for $s4 Adena.\0|0|79|9B|B0|a,|a,none\0
1155|a,+$s2 $s3 has been sold to $C1 at the price of $s4 Adena.\0|0|79|9B|B0|a,|a,none\0
1156|a,+$s2 $s3 has been purchased from $C1 at the price of $s4 Adena.\0|0|79|9B|B0|a,|a,none\0
1157|a,The preview state only lasts for 5 seconds. If you wish to continue, please click Confirm.\0|0|79|9B|B0|a,|a,none\0
1158|a,You cannot dismount from this elevation.\0|0|79|9B|B0|a,|a,none\0
1159|a,The ferry from Talking Island will arrive at Gludin Harbor in approximately 10 minutes.\0|0|79|9B|B0|a,|a,none\0
1160|a,The ferry from Talking Island will be arriving at Gludin Harbor in approximately 5 minutes.\0|0|79|9B|B0|a,|a,none\0
1161|a,The ferry from Talking Island will be arriving at Gludin Harbor in approximately 1 minute.\0|0|79|9B|B0|a,|a,none\0
1162|a,The ferry from Giran Harbor will be arriving at Talking Island in approximately 15 minutes.\0|0|79|9B|B0|a,|a,none\0
1163|a,The ferry from Giran Harbor will be arriving at Talking Island in approximately 10 minutes.\0|0|79|9B|B0|a,|a,none\0
1164|a,The ferry from Giran Harbor will be arriving at Talking Island in approximately 5 minutes.\0|0|79|9B|B0|a,|a,none\0
1165|a,The ferry from Giran Harbor will be arriving at Talking Island in approximately 1 minute.\0|0|79|9B|B0|a,|a,none\0
1166|a,The ferry from Talking Island will be arriving at Giran Harbor in approximately 20 minutes.\0|0|79|9B|B0|a,|a,none\0
1167|a,The ferry from Talking Island will be arriving at Giran Harbor in approximately 15 minutes.\0|0|79|9B|B0|a,|a,none\0
1168|a,The ferry from Talking Island will be arriving at Giran Harbor in approximately 10 minutes.\0|0|79|9B|B0|a,|a,none\0
1169|a,The ferry from Talking Island will be arriving at Giran Harbor in approximately 5 minutes.\0|0|79|9B|B0|a,|a,none\0
1170|a,The ferry from Talking Island will be arriving at Giran Harbor in approximately 1 minute.\0|0|79|9B|B0|a,|a,none\0
1171|a,The Innadril pleasure boat will arrive in approximately 20 minutes.\0|0|79|9B|B0|a,|a,none\0
1172|a,The Innadril pleasure boat will arrive in approximately 15 minutes.\0|0|79|9B|B0|a,|a,none\0
1173|a,The Innadril pleasure boat will arrive in approximately 10 minutes.\0|0|79|9B|B0|a,|a,none\0
1174|a,The Innadril pleasure boat will arrive in approximately 5 minutes.\0|0|79|9B|B0|a,|a,none\0
1175|a,The Innadril pleasure boat will arrive in approximately 1 minute.\0|0|79|9B|B0|a,|a,none\0
1176|a,The SSQ Competition period is underway.\0|0|79|9B|B0|a,|a,none\0
1177|a,This is the seal validation period.\0|0|79|9B|B0|a,|a,none\0
1178|a,This seal permits the group that holds it to exclusive entry to the dungeons opened by the Seal of Avarice during the seal validation period.  It also permits trading with the Merchant of Mammon and permits meetings with Anakim or Lilith in the Disciple's Necropolis.\0|0|79|9B|B0|a,|a,none\0
1179|a,This seal permits the group that holds it to enter the dungeon opened by the Seal of Gnosis, use the teleportation service offered by the priest in the village, and do business with the Blacksmith of Mammon. The Orator of Revelations appears and casts good magic on the winners, and the Preacher of Doom appears and casts bad magic on the losers.\0|0|79|9B|B0|a,|a,none\0
1180|a,During the Seal Validation period, the cabal's maximum CP amount increases. In addition, the cabal possessing the seal will benefit from favorable changes in the cost to up-grade Castle defense mercenaries, castle gates and walls; basic P. Def. of castle gates and walls; and the limit imposed on the castle tax rate. The use of siege war weapons will also be limited. If the Revolutionary Army of Dusk takes possession of this seal during the castle siege war, only the clan that owns the castle can come to its defense.\0|0|79|9B|B0|a,|a,none\0
1181|a,Do you really wish to change the title?\0|4|79|9B|B0|a,|a,popup\0
1182|a,Are you sure you wish to delete the clan crest?\0|4|79|9B|B0|a,|a,popup\0
1183|a,This is the initial period.\0|0|79|9B|B0|a,|a,none\0
1184|a,This is a period when server statistics are calculated.\0|0|79|9B|B0|a,|a,none\0
1185|a,days left until deletion.\0|0|79|9B|B0|a,|a,none\0
1186|a,To create a new account, please visit the plaync website (http://us.ncsoft.com/support/).\0|0|79|9B|B0|a,|a,none\0
1187|a,If you've forgotten your account information or password, please visit the Support Center on the plaync website (http://us.ncsoft.com/support/).\0|0|79|9B|B0|a,|a,none\0
1188|a,Your selected target can no longer receive a recommendation.\0|0|79|9B|B0|a,|a,none\0
1189|a,The temporary alliance of the Castle Attacker team is in effect. It will be dissolved when the Castle Lord is replaced.\0|0|79|9B|B0|a,|a,none\0
1190|a,The temporary alliance of the Castle Attacker team has been dissolved.\0|0|79|9B|B0|a,|a,none\0
1191|a,The ferry from Gludin Harbor will be arriving at Talking Island in approximately 10 minutes.\0|0|79|9B|B0|a,|a,none\0
1192|a,The ferry from Gludin Harbor will be arriving at Talking Island in approximately 5 minutes.\0|0|79|9B|B0|a,|a,none\0
1193|a,The ferry from Gludin Harbor will be arriving at Talking Island in approximately 1 minute.\0|0|79|9B|B0|a,|a,none\0
1194|a,A mercenary can be assigned to a position from the beginning of the Seal Validation period until the time when a siege starts.\0|0|79|9B|B0|a,|a,none\0
1195|a,This mercenary cannot be assigned to a position by using the Seal of Strife.\0|0|79|9B|B0|a,|a,none\0
1196|a,Your force has reached maximum capacity.\0|0|79|9B|B0|a,|a,none\0
1197|a,Summoning a servitor costs $s2 $s1.\0|0|79|9B|B0|a,|a,none\0
1198|a,The item has been successfully crystallized.\0|0|79|9B|B0|a,|a,none\0
1199|a,=======<Clan War Target>=======\0|0|79|9B|B0|a,|a,none\0
1200|a,= $s1 ($S2 Alliance)\0|0|79|9B|B0|a,|a,none\0
1201|a,Please select the quest you wish to abort.\0|0|79|9B|B0|a,|a,none\0
1202|a,= $s1 (No Alliance exists)\0|0|79|9B|B0|a,|a,none\0
1203|a,There is no clan war in progress.\0|0|79|9B|B0|a,|a,none\0
1204|a,The screenshot has been saved. ($s1 $s2x$s3)\0|0|79|9B|B0|a,|a,none\0
1205|a,Your mailbox is full. There is a 100 message limit.\0|0|79|9B|B0|a,|a,none\0
1206|a,The memo box is full.  There is a 100 memo limit.\0|0|79|9B|B0|a,|a,none\0
1207|a,Please make an entry in the field.\0|4|79|9B|B0|a,|a,popup\0
1208|a,$c1 died and dropped $s3 $s2(s).\0|0|79|9B|B0|a,|a,none\0
1209|a,Congratulations. Your raid was successful.\0|0|79|9B|B0|a,|a,none\0
1210|a,Seven Signs: The competition period has begun.  Visit a Priest of Dawn or Priestess of Dusk to participate in the event.\0|0|B2|B0|5A|a,|a,none\0
1211|a,Seven Signs: The competition period has ended. The next quest event will start in one week.\0|0|B2|B0|5A|a,|a,none\0
1212|a,Seven Signs: The Lords of Dawn have obtained the Seal of Avarice.\0|0|B2|B0|5A|a,|a,none\0
1213|a,Seven Signs: The Lords of Dawn have obtained the Seal of Gnosis.\0|0|B2|B0|5A|a,|a,none\0
1214|a,Seven Signs: The Lords of Dawn have obtained the Seal of Strife.\0|0|B2|B0|5A|a,|a,none\0
1215|a,Seven Signs: The Revolutionaries of Dusk have obtained the Seal of Avarice.\0|0|B2|B0|5A|a,|a,none\0
1216|a,Seven Signs: The Revolutionaries of Dusk have obtained the Seal of Gnosis.\0|0|B2|B0|5A|a,|a,none\0
1217|a,Seven Signs: The Revolutionaries of Dusk have obtained the Seal of Strife.\0|0|B2|B0|5A|a,|a,none\0
1218|a,Seven Signs: The Seal Validation period has begun.\0|0|B2|B0|5A|a,|a,none\0
1219|a,Seven Signs: The Seal Validation period has ended.\0|0|B2|B0|5A|a,|a,none\0
1220|a,Are you sure you wish to summon it?\0|0|79|9B|B0|a,|a,none\0
1221|a,Do you really wish to return it?\0|0|79|9B|B0|a,|a,none\0
1222|a,Current Location: $s1 / $s2 / $s3 (GM Consultation Area)\0|0|79|9B|B0|a,|a,none\0
1223|a,We depart for Talking Island in five minutes.\0|0|79|9B|B0|a,|a,none\0
1224|a,We depart for Talking Island in one minute.\0|0|79|9B|B0|a,|a,none\0
1225|a,All aboard for Talking Island!\0|0|79|9B|B0|a,|a,none\0
1226|a,We are now leaving for Talking Island.\0|0|79|9B|B0|a,|a,none\0
1227|a,You have $s1 unread messages.\0|0|79|9B|B0|a,|a,none\0
1228|a,$c1 has blocked you. You cannot send mail to $c1.\0|0|79|9B|B0|a,|a,none\0
1229|a,No more messages may be sent at this time. Each account is allowed 10 messages per day.\0|0|79|9B|B0|a,|a,none\0
1230|a,You are limited to five recipients at a time.\0|0|79|9B|B0|a,|a,none\0
1231|a,You've sent mail.\0|0|79|9B|B0|a,|a,none\0
1232|a,The message was not sent.\0|0|79|9B|B0|a,|a,none\0
1233|a,You've got mail.\0|0|79|9B|B0|a,|a,none\0
1234|a,The mail has been stored in your temporary mailbox.\0|0|79|9B|B0|a,|a,none\0
1235|a,Do you wish to delete all your friends?\0|4|79|9B|B0|a,|a,popup\0
1236|a,Please enter security card number.\0|0|79|9B|B0|a,|a,none\0
1237|a,Please enter the card number for number $s1.\0|0|79|9B|B0|a,|a,none\0
1238|a,Your temporary mailbox is full.  No more mail can be stored; you have reached the 10 message limit.\0|0|79|9B|B0|a,|a,none\0
1239|a,The keyboard security module has failed to load. Please exit the game and try again.\0|4|79|9B|B0|a,|a,popup\0
1240|a,Seven Signs: The Revolutionaries of Dusk have won.\0|0|B2|B0|5A|a,|a,none\0
1241|a,Seven Signs: The Lords of Dawn have won.\0|0|B2|B0|5A|a,|a,none\0
1242|a,Users who have not verified their age may not log in between the hours of 10:00 p.m. and 6:00 a.m.\0|0|79|9B|B0|a,|a,none\0
1243|a,The security card number is invalid.\0|0|79|9B|B0|a,|a,none\0
1244|a,Users who have not verified their age may not log in between the hours of 10:00 p.m. and 6:00 a.m. Logging off now.\0|0|79|9B|B0|a,|a,none\0
1245|a,You will be logged out in $s1 minute(s).\0|0|79|9B|B0|a,|a,none\0
1246|a,$c1 has died and dropped $s2 Adena.\0|0|79|9B|B0|a,|a,none\0
1247|a,The corpse is too old. The skill cannot be used.\0|0|79|9B|B0|a,|a,none\0
1248|a,You are out of feed. Mount status canceled.\0|0|79|9B|B0|a,|a,none\0
1249|a,You may only ride a wyvern while you're riding a strider.\0|0|79|9B|B0|a,|a,none\0
1250|a,Do you really want to surrender? If you surrender during an alliance war, your XP will drop the same as if you were to die once.\0|4|79|9B|B0|a,|a,popup\0
1251|a,Are you sure you want to dismiss the alliance? If you use the /allydismiss command, you will not be able to accept another clan to your alliance for one day.\0|4|79|9B|B0|a,|a,popup\0
1252|a,Are you sure you want to surrender? XP penalty will be the same as death.\0|4|79|9B|B0|a,|a,popup\0
1253|a,Are you sure you want to surrender? XP penalty will be the same as death and you will not be allowed to participate in clan war.\0|4|79|9B|B0|a,|a,popup\0
1254|a,Thank you for submitting feedback.\0|0|79|9B|B0|a,|a,none\0
1255|a,GM consultation has begun.\0|0|79|9B|B0|a,|a,none\0
1256|a,Please write the name after the command.\0|0|79|9B|B0|a,|a,none\0
1257|a,The special skill of a servitor or pet cannot be registered as a macro.\0|0|79|9B|B0|a,|a,none\0
1258|a,$s1 has been crystallized.\0|0|79|9B|B0|a,|a,none\0
1259|a,=======<Alliance Target>=======\0|0|79|9B|B0|a,|a,none\0
1260|a,Seven Signs: Preparations have begun for the next quest event.\0|0|B2|B0|5A|a,|a,none\0
1261|a,Seven Signs: The quest event period has begun. Speak with a Priest of Dawn or Priestess of Dusk if you wish to participate in the event.\0|0|B2|B0|5A|a,|a,none\0
1262|a,Seven Signs: Quest event has ended. Results are being tallied.\0|0|B2|B0|5A|a,|a,none\0
1263|a,Seven Signs: This is the seal validation period. A new quest event period begins next Monday.\0|0|B2|B0|5A|a,|a,none\0
1264|a,This soul stone cannot currently absorb souls. Absorption has failed.\0|0|79|9B|B0|a,|a,none\0
1265|a,You can't absorb souls without a soul stone.\0|0|79|9B|B0|a,|a,none\0
1266|a,The exchange has ended.\0|0|79|9B|B0|a,|a,none\0
1267|a,Your contribution score has increased by $s1.\0|0|79|9B|B0|a,|a,none\0
1268|a,Do you wish to add $s1 as your subclass?\0|4|79|9B|B0|a,|a,popup\0
1269|a,The new subclass has been added.\0|0|79|9B|B0|a,|a,none\0
1270|a,You have successfully switched $s1 to $s2.\0|0|79|9B|B0|a,|a,none\0
1271|a,Do you wish to participate? Until the next seal validation period, you will be a member of the Lords of Dawn.\0|4|79|9B|B0|a,|a,popup\0
1272|a,Do you wish to participate? Until the next seal validation period, you will be a member of the Revolutionaries of Dusk.\0|4|79|9B|B0|a,|a,popup\0
1273|a,You will participate in the Seven Signs as a member of the Lords of Dawn.\0|0|79|9B|B0|a,|a,none\0
1274|a,You will participate in the Seven Signs as a member of the Revolutionaries of Dusk.\0|0|79|9B|B0|a,|a,none\0
1275|a,You've chosen to fight for the Seal of Avarice during this quest event period.\0|0|79|9B|B0|a,|a,none\0
1276|a,You've chosen to fight for the Seal of Gnosis during this quest event period.\0|0|79|9B|B0|a,|a,none\0
1277|a,You've chosen to fight for the Seal of Strife during this quest event period.\0|0|79|9B|B0|a,|a,none\0
1278|a,The NPC server is not operating at this time.\0|4|79|9B|B0|a,|a,popup\0
1279|a,Contribution level has exceeded the limit. You may not continue.\0|0|79|9B|B0|a,|a,none\0
1280|a,M. Critical!\0|0|79|9B|B0|a,|a,none\0
1281|a,Your excellent shield defense was a success!\0|0|79|9B|B0|a,|a,none\0
1282|a,Your Reputation has been changed to $s1.\0|0|79|9B|B0|a,|a,none\0
1283|a,The Lower Detail option has been activated.\0|0|79|9B|B0|a,|a,none\0
1284|a,The Lower Detail option has been deactivated.\0|0|79|9B|B0|a,|a,none\0
1285|a,No inventory exists. You cannot purchase an item.\0|0|79|9B|B0|a,|a,none\0
1286|a,(Until next Monday at 6:00 p.m.)\0|0|79|9B|B0|a,|a,none\0
1287|a,(Until today at 6:00 p.m.)\0|0|79|9B|B0|a,|a,none\0
1288|a,If trends continue, $s1 will win and the seal will belong to:\0|0|79|9B|B0|a,|a,none\0
1289|a,Since the seal was owned during the previous period and 10% or more people have participated.\0|0|79|9B|B0|a,|a,none\0
1290|a,Although the seal was not owned, 35% or more people have participated.\0|0|79|9B|B0|a,|a,none\0
1291|a,Although the seal was owned during the previous period, less than 10% of people have voted.\0|0|79|9B|B0|a,|a,none\0
1292|a,Since the seal was not owned during the previous period, and since less than 35 percent of people have voted.\0|0|79|9B|B0|a,|a,none\0
1293|a,If current trends continue, it will end in a tie.\0|0|79|9B|B0|a,|a,none\0
1294|a,The competition has ended in a tie. Therefore, nobody has been awarded the seal.\0|0|79|9B|B0|a,|a,none\0
1295|a,Subclasses may not be created or changed while a skill is in use.\0|0|79|9B|B0|a,|a,none\0
1296|a,You cannot open a Private Store here.\0|0|79|9B|B0|a,|a,none\0
1297|a,You cannot open a Private Workshop here.\0|0|79|9B|B0|a,|a,none\0
1298|a,Please confirm that you would like to exit the Monster Race Track.\0|4|79|9B|B0|a,|a,popup\0
1299|a,$c1's casting has been interrupted.\0|0|79|9B|B0|a,|a,none\0
1300|a,You are no longer trying on equipment.\0|0|79|9B|B0|a,|a,none\0
1301|a,Only a Lord of Dawn may use this.\0|0|79|9B|B0|a,|a,none\0
1302|a,Only a Revolutionary of Dusk may use this.\0|0|79|9B|B0|a,|a,none\0
1303|a,This may only be used during the quest event period.\0|0|79|9B|B0|a,|a,none\0
1304|a,The influence of the Seal of Strife has caused all defensive registrations to be canceled.\0|0|B2|B0|5A|a,|a,none\0
1305|a,Seal Stones may only be transferred during the quest event period.\0|0|79|9B|B0|a,|a,none\0
1306|a,You are no longer trying on equipment.\0|0|79|9B|B0|a,|a,none\0
1307|a,Only during the seal validation period may you settle your account.\0|0|79|9B|B0|a,|a,none\0
1308|a,Congratulations - You've completed a class transfer!\0|0|79|9B|B0|a,|a,none\0
1309|a,To use this option, you must have the latest version of Windows Live Messenger installed on your computer.\0|0|79|9B|B0|a,|a,none\0
1310|a,For full functionality, the latest version of Windows Live Messenger must be installed on your computer.\0|0|79|9B|B0|a,|a,none\0
1311|a,Previous versions of Windows Live Messenger only provide the basic features for in-game Windows Live Messenger chat.  Add/Delete Contacts and other Windows Live Messenger options are not available.\0|0|79|9B|B0|a,|a,none\0
1312|a,The latest version of Windows Live Messenger may be obtained from the Windows Live web site (http://explore.live.com/messenger).\0|0|79|9B|B0|a,|a,none\0
1313|a,To better serve our customers, all chat histories are stored and maintained by NCSOFT. If you do not agree to have your chat records stored, please close the chat window now. For more information regarding this procedure, please visit our home page at http://us.ncsoft.com/en/legal/user-agreements/lineage-2-user-agreement.html. Thank you!\0|0|79|9B|B0|a,|a,none\0
1314|a,Please enter the passport ID of the person you wish to add to your contact list.\0|0|79|9B|B0|a,|a,none\0
1315|a,Deleting a contact will remove that contact from Windows Live Messenger as well. The contact can still check your online status and will not be blocked from sending you a message.\0|0|79|9B|B0|a,|a,none\0
1316|a,The contact will be deleted and blocked from your contact list.\0|0|79|9B|B0|a,|a,none\0
1317|a,Would you like to delete this contact?\0|0|79|9B|B0|a,|a,none\0
1318|a,Please select the contact you want to block or unblock.\0|0|79|9B|B0|a,|a,none\0
1319|a,Please select the name of the contact you wish to change to another group.\0|0|79|9B|B0|a,|a,none\0
1320|a,After selecting the group you wish to move your contact to, press the OK button.\0|0|79|9B|B0|a,|a,none\0
1321|a,Enter the name of the group you wish to add.\0|0|79|9B|B0|a,|a,none\0
1322|a,Select the group and enter the new name.\0|0|79|9B|B0|a,|a,none\0
1323|a,Select the group you wish to delete and click the OK button.\0|0|79|9B|B0|a,|a,none\0
1324|a,Signing in...\0|0|79|9B|B0|a,|a,none\0
1325|a,You've logged into another computer and have been logged out of the .NET Messenger Service on this computer.\0|0|79|9B|B0|a,|a,none\0
1326|a,$s1:\0|0|79|9B|B0|a,|a,none\0
1327|a,The following message could not be delivered:\0|0|79|9B|B0|a,|a,none\0
1328|a,Members of the Revolutionaries of Dusk will not be resurrected.\0|0|79|9B|B0|a,|a,none\0
1329|a,You are currently blocked from using the Private Store and Private Workshop.\0|0|79|9B|B0|a,|a,none\0
