nbr|x_world_grid|y_world_grid|top_z|bottom_z|zone_name
425|23|21|30000.00000000|-30000.00000000|a,Valley Fortress\0
426|22|18|30000.00000000|-30000.00000000|a,Ivory Fortress\0
427|24|19|30000.00000000|-30000.00000000|a,Narsell Fortress\0
428|25|19|30000.00000000|-30000.00000000|a,Bayou Fortress\0
429|23|24|30000.00000000|-30000.00000000|a,White Sands Fortress\0
430|24|15|30000.00000000|-30000.00000000|a,Borderland Fortress\0
431|22|16|30000.00000000|-30000.00000000|a,Swamp Fortress\0
432|23|13|30000.00000000|-30000.00000000|a,Archaic Fortress\0
433|20|22|30000.00000000|-30000.00000000|a,Floran Fortress\0
434|18|20|30000.00000000|-30000.00000000|a,Cloud Mountain Fortress\0
435|21|22|30000.00000000|-30000.00000000|a,Tanor Fortress\0
436|20|20|30000.00000000|-30000.00000000|a,Dragonspine Fortress\0
437|22|20|30000.00000000|-30000.00000000|a,Antharas' Fortress\0
438|23|17|30000.00000000|-1100.00000000|a,Western Fortress\0
439|23|20|30000.00000000|-30000.00000000|a,Hunter's Fortress\0
440|22|23|30000.00000000|-30000.00000000|a,Aaru Fortress\0
441|23|16|30000.00000000|-30000.00000000|a,Demon Fortress\0
442|22|15|30000.00000000|-30000.00000000|a,Monastic Fortress\0
443|20|16|-1300.00000000|-30000.00000000|a,Underground Camp\0
444|23|17|-1100.00000000|-30000.00000000|a,Western Border Outpost\0
445|16|20|30000.00000000|-6000.00000000|a,Stronghold I\0
446|17|19|30000.00000000|-3000.00000000|a,Stronghold II\0
447|17|19|30000.00000000|-3000.00000000|a,Stronghold III\0
451|18|16|30000.00000000|-4500.00000000|a,Fantasy Isle\0
452|17|16|-5500.00000000|-13800.00000000|a,Underground Coliseum\0
453|19|26|-6500.00000000|-15500.00000000|a,Tully's Workshop\0
454|19|26|-6500.00000000|-15500.00000000|a,Tully's Workshop\0
455|19|26|-7500.00000000|-15500.00000000|a,Tower of Infinitum\0
456|19|26|-8500.00000000|-13500.00000000|a,Tower of Infinitum\0
457|18|25|-5000.00000000|-30000.00000000|a,Tower of Naia\0
458|20|24|-5000.00000000|-12000.00000000|a,Tower of Naia\0
459|21|25|-5500.00000000|-6800.00000000|a,Underground Camp\0
460|17|11|-6500.00000000|-8500.00000000|a,Kamaloka (Hall of the Abyss)\0
461|18|11|-6500.00000000|-8500.00000000|a,Kamaloka (Hall of the Abyss)\0
462|19|11|-6500.00000000|-8500.00000000|a,Kamaloka (Hall of the Abyss)\0
463|20|11|-6500.00000000|-8500.00000000|a,Rim Kamaloka (Hall of Nightmares)\0
464|21|11|-7000.00000000|-9000.00000000|a,Rim Kamaloka (Hall of Nightmares)\0
465|17|11|-6500.00000000|-8500.00000000|a,Near Kamaloka (Hall of the Abyss)\0
466|18|11|-6500.00000000|-8500.00000000|a,Near Kamaloka (Hall of the Abyss)\0
467|19|23|-4200.00000000|-5100.00000000|a,Ant Nest\0
468|17|12|30000.00000000|-30000.00000000|a,Kamaloka (Labyrinth of the Abyss)\0
469|18|12|30000.00000000|-30000.00000000|a,Kamaloka (Labyrinth of the Abyss)\0
470|19|12|30000.00000000|-30000.00000000|a,Kamaloka (Labyrinth of the Abyss)\0
471|20|12|30000.00000000|-30000.00000000|a,Kamaloka (Labyrinth of the Abyss)\0
472|22|11|30000.00000000|-30000.00000000|a,Devil's Isle\0
473|22|11|30000.00000000|-30000.00000000|a,Pirate Tunnel\0
474|17|15|-5000.00000000|-10000.00000000|a,Kratei's Cube\0
475|17|17|-5000.00000000|-10000.00000000|a,Kratei's Cube\0
476|18|15|-5000.00000000|-10000.00000000|a,Kratei's Cube\0
477|0|0|30000.00000000|-30000.00000000|a,Seed of Destruction\0
478|0|0|30000.00000000|-30000.00000000|a,Seed of Infinity\0
479|12|24|-8000.00000000|-15000.00000000|a,Tiat's Throne Room\0
480|12|24|-8000.00000000|-15000.00000000|a,Fortress of Destruction\0
481|12|24|-8000.00000000|-15000.00000000|a,Scouting Pass\0
482|12|24|-8000.00000000|-15000.00000000|a,Central Square\0
483|12|24|-8000.00000000|-15000.00000000|a,Entrance of Destruction\0
484|14|24|-10600.00000000|-13100.00000000|a,Death Gate\0
485|14|24|-7000.00000000|-10600.00000000|a,Hall of Suffering\0
486|14|24|-10600.00000000|-13100.00000000|a,Hall of Erosion\0
487|14|24|-13100.00000000|-16500.00000000|a,Heart of Infinity\0
488|15|25|30000.00000000|-30000.00000000|a,Warf of Gludio Airships\0
489|14|25|30000.00000000|-30000.00000000|a,Keucereus Alliance Base\0
490|13|25|30000.00000000|-30000.00000000|a,Aerial Cleft\0
491|21|17|-8000.00000000|-9450.00000000|a,Rim Pailaka (Rune)\0
492|99|99|30000.00000000|-30000.00000000|a,Border\0
493|20|16|30000.00000000|-1300.00000000|a,Rune Castle\0
494|16|11|30000.00000000|-30000.00000000|a,Delusion Chamber\0
495|16|13|30000.00000000|-30000.00000000|a,Delusion Chamber\0
496|17|24|30000.00000000|-30000.00000000|a,Sanctum of the Lords of Dawn\0
497|17|24|30000.00000000|-30000.00000000|a,Disciple's Necropolis (past)\0
500|14|23|30000.00000000|-30000.00000000|a,Seed of Annihilation\0
501|23|15|-2700.00000000|-4000.00000000|a,Monastery of Silence\0
502|23|15|-90.00000000|-2690.00000000|a,Monastery of Silence\0
503|23|15|2000.00000000|-80.00000000|a,Monastery of Silence\0
504|21|10|-5200.00000000|-7410.00000000|a,Seal of the Saintess\0
505|21|10|-5200.00000000|-7800.00000000|a,Hall of the Saintess\0
506|22|10|-7150.00000000|-8900.00000000|a,Holy Tomb\0
507|22|10|-9350.00000000|-9750.00000000|a,Elcadia's Cabin\0
508|21|16|-800.00000000|-1280.00000000|a,Library of Sages\0
509|22|21|30000.00000000|-30000.00000000|a,Watcher's Tomb\0
510|0|0|30000.00000000|-30000.00000000|a,Magmeld\0
511|26|20|30000.00000000|-30000.00000000|a,Ancient City Arcan\0
512|26|20|30000.00000000|-30000.00000000|a,Fairy Settlement\0
513|26|19|-5000.00000000|-10000.00000000|a,Orbis Temple\0
514|26|19|-11000.00000000|-16000.00000000|a,Orbis Temple\0
515|26|21|-6000.00000000|-30000.00000000|a,Orbis Temple\0
516|26|21|30000.00000000|-4900.00000000|a,Garden of Genesis\0
517|25|22|30000.00000000|-30000.00000000|a,Prison of Darkness\0
518|26|22|30000.00000000|-30000.00000000|a,Prison of Darkness\0
519|22|12|30000.00000000|-30000.00000000|a,Earth Wyrm Cave\0
520|21|12|30000.00000000|-30000.00000000|a,Fortuna Prison\0
521|16|22|30000.00000000|-30000.00000000|a,Harnak Underground Ruins\0
522|16|23|30000.00000000|-30000.00000000|a,Harnak Underground Ruins\0
523|23|22|30000.00000000|-30000.00000000|a,Lachik Dwelling\0
524|24|25|30000.00000000|-30000.00000000|a,Lachik Dwelling\0
525|16|25|30000.00000000|-5000.00000000|a,Ruins of Ye Sagira\0
526|16|24|30000.00000000|-30000.00000000|a,Labyrinth of Belis\0
527|26|20|30000.00000000|-30000.00000000|a,Orbis Temple\0
528|19|18|30000.00000000|-30000.00000000|a,Altar of Evil\0
529|16|14|30000.00000000|-30000.00000000|a,Talking Island\0
530|16|24|30000.00000000|-30000.00000000|a,Disconnected Labyrinth\0
531|21|12|30000.00000000|-30000.00000000|a,Evil Incubator\0
532|25|18|-4000.00000000|-30000.00000000|a,Altar of Shilen\0
533|25|15|1000.00000000|-30000.00000000|a,Imperial Tomb\0
534|25|15|1000.00000000|-30000.00000000|a,Imperial Tomb\0
535|21|12|1000.00000000|-30000.00000000|a,Blood Thirst's Hideout\0
536|19|11|30000.00000000|-30000.00000000|a,Ceremony of Chaos Arena\0
537|17|10|30000.00000000|-30000.00000000|a,Ceremony of Chaos Arena\0
538|17|10|30000.00000000|-30000.00000000|a,Ceremony of Chaos Arena\0
539|13|25|30000.00000000|-30000.00000000|a,Ceremony of Chaos Arena\0
