id|type|category|cat2_cnt|name|icon|desc|cmd
1110|-1|10|19|a,Reaper Touch\0|a,icon.action225\0|a,Damages the target and absorbs some of its HP.\0|usesummonskill
1111|-1|10|19|a,Reaper Power\0|a,icon.action226\0|a,Creates a space of death near the enemy to inflict damage.\0|usesummonskill
1113|-1|6|16|a,Lion Roar\0|a,icon.action208\0|a,Attack nearby enemies and block their physical skills.\0|usesummonskill
1114|-1|6|16|a,Lion Claw\0|a,icon.action209\0|a,Flourishes claws and frontally attacks enemies.\0|usesummonskill
1115|-1|6|16|a,Lion Dash\0|a,icon.action211\0|a,Dashes toward enemies to inflict damage and Stun them.\0|usesummonskill
1116|-1|6|16|a,Lion Flame\0|a,icon.action209\0|a,Inflicts damage onto the enemies with a flame.\0|usesummonskill
1117|-1|6|18|a,Thunder Flight\0|a,icon.action211\0|a,Flies straight into the enemy.\0|usesummonskill
1118|-1|6|18|a,Thunder Purity\0|a,icon.action214\0|a,Purifies the master.\0|usesummonskill
1120|-1|6|18|a,Thunder Feather\0|a,icon.action208\0|a,Attack the enemy by darting a feather.\0|usesummonskill
1121|-1|6|18|a,Thunder Sharp Claw\0|a,icon.action209\0|a,Hurt the enemy by attacking them with sharp claws.\0|usesummonskill
1122|-1|6|14|a,Blessing of Life\0|a,icon.action213\0|a,Recover the targets near the tree and clear any debuff.\0|usesummonskill
1123|-1|6|35|a,Siege Punch\0|a,icon.action208\0|a,Attacks nearby targets with a powerful punch.\0|usesummonskill
1124|-1|10|8|a,Feline Aggression\0|a,icon.action221\0|a,Provokes nearby enemies.\0|usesummonskill
1125|-1|10|8|a,Feline Stun\0|a,icon.action222\0|a,Temporarily Stuns nearby enemies.\0|usesummonskill
1126|-1|10|8|a,Feline Bite\0|a,icon.action223\0|a,Bites the enemy.\0|usesummonskill
1127|-1|10|8|a,Feline Pounce\0|a,icon.action224\0|a,Pounces on the target to inflict damage and decrease their Speed by 50%.\0|usesummonskill
1128|-1|10|8|a,Feline Touch\0|a,icon.action225\0|a,Attacks the enemy with the touch of death.\0|usesummonskill
1129|-1|10|8|a,Feline Power\0|a,icon.action226\0|a,Creates a space of death near the enemy to inflict damage.\0|usesummonskill
1130|-1|10|8|a,Unicorn's Aggression\0|a,icon.action221\0|a,Provokes nearby enemies.\0|usesummonskill
1131|-1|10|8|a,Unicorn's Stun\0|a,icon.action222\0|a,Temporarily Stuns nearby enemies.\0|usesummonskill
1132|-1|10|8|a,Unicorn's Bite\0|a,icon.action223\0|a,Bites the enemy.\0|usesummonskill
1133|-1|10|8|a,Unicorn's Pounce\0|a,icon.action224\0|a,Pounces on the target to inflict damage and decrease their Speed by 50%.\0|usesummonskill
1134|-1|10|8|a,Unicorn's Touch\0|a,icon.action225\0|a,Attacks the enemy with the touch of death.\0|usesummonskill
1135|-1|10|8|a,Unicorn's Power\0|a,icon.action226\0|a,Creates a space of death near the enemy to inflict damage.\0|usesummonskill
1136|-1|10|8|a,Phantom Aggression\0|a,icon.action221\0|a,Provokes nearby enemies.\0|usesummonskill
1137|-1|10|8|a,Phantom Stun\0|a,icon.action222\0|a,Temporarily Stuns nearby enemies.\0|usesummonskill
1138|-1|10|8|a,Phantom Bite\0|a,icon.action223\0|a,Bites the enemy.\0|usesummonskill
1139|-1|10|8|a,Phantom Pounce\0|a,icon.action224\0|a,Pounces on the target to inflict damage and decrease their Speed by 50%.\0|usesummonskill
1140|-1|10|8|a,Phantom Touch\0|a,icon.action225\0|a,Attacks the enemy with the touch of death.\0|usesummonskill
1141|-1|10|8|a,Phantom Power\0|a,icon.action226\0|a,Creates a space of death near the enemy to inflict damage.\0|usesummonskill
1142|-1|6|4|a,Panther Roar\0|a,icon.action208\0|a,Attacks nearby enemies and blocks their P. Skills.\0|usesummonskill
1143|-1|6|4|a,Panther Rush\0|a,icon.action211\0|a,Rushes to the enemy to inflict damage and Stun.\0|usesummonskill
